Year,Rate
1984-12-31,11.4319
1985-12-31,11.1617
1986-12-31,10.2052
1987-12-31,9.7182
1988-12-31,9.7938
1989-12-31,10.2677
1990-12-31,11.7211
1991-12-31,10.1322
1992-12-31,9.1201
1993-12-31,7.5611
